OSEBuildingID,BuildingType,PrimaryPropertyType,ZipCode,CouncilDistrictCode,Neighborhood,NumberofBuildings,NumberofFloors,PropertyGFATotal,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SteamUse(kBtu),Electricity(kWh),Electricity(kBtu),NaturalGas(therms),NaturalGas(kBtu),Outlier,TotalGHGEmissions,GHGEmissionsIntensity,%_GFAParking,%_GFABuilding,Nb_PropertyUseTypes,Building_age,%_LargestPropertyUseType
49829,NonResidential,Senior Care Community,98112.0,3,Central,1.0,6,79805,Senior Care Community,79805.0,Parking,7000.0,one_use,0.0,25.0,94.40000153,96.40000153,221.1999969,223.3000031,7531325.0,0.0,1366841.0,4663661.0,28676.62891,2867663.0,not_outlier,184.81,2.32,0.0,1.0,2,3,1.0
49850,NonResidential,K-12 School,98125.0,5,NORTHWEST,1.0,2,48925,K-12 School,63500.0,one_use,0.0,one_use,0.0,82.0,26.20000076,26.70000076,73.0,73.59999847,1662054.125,0.0,405739.3125,1384383.0,2469.06958,246907.0,not_outlier,22.76,0.47,0.0,1.0,1,2,1.2979049565661727
49946,NonResidential,Supermarket / Grocery Store,98107.0,6,BALLARD,1.0,8,41198,Supermarket/Grocery Store,41198.0,one_use,0.0,one_use,0.0,44.0,188.6000061,189.0,560.7999878,561.2999878,7768057.5,0.0,2096091.625,7151865.0,6161.92041,616192.0,not_outlier,82.58,2.0,0.0,1.0,1,6,1.0
49985,NonResidential,Large Office,98109.0,7,LAKE UNION,1.0,6,427181,Office,427181.0,Parking,169195.0,one_use,0.0,99.0,38.29999924,39.40000153,109.8000031,111.9000015,16371039.0,0.0,4165603.5,14213039.0,21579.98438,2157998.0,not_outlier,213.7,0.5,0.0,1.0,2,2,1.0
50035,NonResidential,Hotel,98101.0,7,DOWNTOWN,1.0,14,144614,Hotel,159500.0,one_use,0.0,one_use,0.0,89.0,34.59999847,34.79999924,105.4000015,105.5999985,5525072.5,0.0,1544316.5,5269208.0,2558.640137,255864.0,not_outlier,50.32,0.35,0.0,1.0,1,1,1.1029360919413058
50037,NonResidential,Large Office,98109.0,7,LAKE UNION,1.0,12,480702,Office,341897.0,Parking,136594.0,one_use,0.0,99.0,37.20000076,37.79999924,109.0999985,110.0,12720069.0,0.0,3356673.0,11452968.0,12670.99023,1267099.0,not_outlier,147.14,0.31,0.3396282936205799,0.6603717063794201,2,2,0.7112452205316392
50045,NonResidential,Large Office,98109.0,7,LAKE UNION,1.0,12,483397,Office,342173.0,Parking,147597.0,one_use,0.0,98.0,40.90000153,42.09999847,114.5999985,117.5999985,13998638.0,0.0,3438750.75,11733018.0,22656.19141,2265619.0,not_outlier,202.12,0.42,0.3438333295407295,0.6561666704592706,2,1,0.707850896881859
50054,Nonresidential COS,Large Office,98109.0,7,LAKE UNION,1.0,13,536697,Office,342838.0,Parking,202178.0,Retail Store,6313.200195,98.0,37.90000153,40.20000076,99.19999695,101.5999985,13239050.0,0.0,2909076.5,9925769.0,33132.78906,3313279.0,not_outlier,245.16,0.46,0.36828787938073065,0.6317121206192693,3,2,0.6387924657674628
50062,NonResidential,Hotel,98103.0,4,LAKE UNION,1.0,4,126823,Hotel,88157.0,Parking,41539.0,Swimming Pool,0.0,72.0,68.5,68.5,169.5,169.5,6042399.5,0.0,1206219.25,4115620.0,19267.79102,1926779.0,not_outlier,131.02,1.03,0.3275352262602209,0.6724647737397791,3,2,0.6951183933513637
50068,NonResidential,Warehouse,98108.0,2,GREATER DUWAMISH,1.0,1,52085,Non-Refrigerated Warehouse,52085.0,one_use,0.0,one_use,0.0,37.0,69.19999695,80.30000305,102.0999985,114.5999985,3605855.5,0.0,214772.4063,732803.0,28730.51953,2873052.0,not_outlier,157.7,3.03,0.08105980608620524,0.9189401939137948,1,61,1.0
50069,NonResidential,Small- and Mid-Sized Office,98108.0,2,GREATER DUWAMISH,1.0,2,24990,Office,24990.0,one_use,0.0,one_use,0.0,9.0,176.8999939,189.3000031,367.0,378.7000122,4420650.5,0.0,635119.875,2167029.0,22536.21094,2253621.0,not_outlier,134.8,5.39,0.0,1.0,1,87,1.0
50081,NonResidential,K-12 School,98144.0,3,GREATER DUWAMISH,1.0,3,45000,K-12 School,45728.0,Parking,0.0,one_use,0.0,77.0,29.0,30.60000038,91.09999847,96.0,1325972.75,0.0,388620.4063,1325973.0,0.0,0.0,not_outlier,9.24,0.21,0.0,1.0,2,1,1.0161777777777778
